COUNTYA,TRACTA,BLKGRPA,CODE,SDELMA,SDSECA,SDELMA_2,SDSECA_2,TOTPOP,WHITE,BLACK,AMIN,ASIAN,NHPI,OTHER,2MORE,OTHER_2MORE,3MORE,<.50,.50-.99,1.00-1.24,1.25-1.49,1.50-1.84,1.85-1.99,>2.00,TOT_INCOME_POP,TOTHOUSE,INCOME,TOT K-5,TOT 6-8,TOT ELEM,TOT SEC,ENROLL_K-5,ENROLL_6-8,ENROLL_K-8,ENROLL_9-12,TOT_ENROLL,NUM_SCHOOLS,NUM_K-5_,NUM_6-8_SCHOOL,NUM_K-8_SCHOOL,NUM_9-12_SCHOOLS
1,11801,2,1118012,4140,4140,48,48,955,839,0,0,66,0,14,36,0,36,38,0,12,0,11,139,755,955,492,44108400,21.54246837,21.65470535,43.19717372,16.875,0,0,0,0,0,0,0,0,0,0
1,11802,1,1118021,4140,4140,48,48,968,905,18,0,0,0,0,45,0,45,0,0,57,0,55,0,856,968,373,26958800,25.64579568,19.31365612,44.9594518,23.75,0,0,0,0,0,0,0,0,0,0
1,11802,2,1118022,4140,4140,48,48,765,577,26,0,7,0,0,155,0,155,0,12,24,0,0,0,729,765,311,28291700,34.87828213,26.92206611,61.80034824,15,0,0,0,0,0,0,0,0,0,0
1,11802,3,1118023,4140,4140,48,48,1469,1453,0,0,0,0,0,16,0,16,0,54,0,12,14,35,1354,1469,646,46297800,84.11820984,52.08834529,136.2065551,42.5,0,0,0,0,0,0,0,0,0,0
1,11802,4,1118024,4140,4140,48,48,991,930,0,0,61,0,0,0,0,0,45,15,23,12,31,0,865,991,515,29192600,56.4207505,38.62731224,95.04806275,38.125,0,0,0,0,0,0,0,0,0,0
1,12001,1,1120011,4140,4140,48,48,1355,1355,0,0,0,0,0,0,0,0,0,0,48,40,12,0,1255,1355,718,48985100,47.18826406,33.94521379,81.13347785,40,0,0,0,0,0,0,0,0,0,0
1,12001,2,1120012,4140,4140,48,48,1447,1447,0,0,0,0,0,0,0,0,49,24,0,30,102,55,1040,1300,798,53970900,43.08493675,30.43363995,73.5185767,40.625,410,217,627,720,1347,2,1,1,2,1
1,12001,3,1120013,4140,4140,48,48,1044,1025,19,0,0,0,0,0,0,0,58,176,0,34,29,38,709,1044,574,32729200,52.3174232,42.13888608,94.45630928,56.875,0,0,0,0,0,0,0,0,0,0
1,12001,4,1120014,4140,4140,48,48,1758,1688,28,0,0,0,15,27,0,27,130,16,0,47,155,26,1307,1681,668,46276800,71.80822792,42.13888608,113.947114,35,0,0,0,0,0,0,0,0,0,0
1,12002,1,1120021,4140,4140,48,48,1050,934,67,0,20,0,18,11,0,11,209,69,0,69,51,21,631,1050,702,29301600,57.44658233,33.35995148,90.80653381,47.5,0,0,0,0,0,0,0,0,0,0
1,12002,2,1120022,4140,4140,48,48,1174,1082,26,54,12,0,0,0,0,0,29,42,12,143,60,23,865,1174,554,30847200,42.05910492,36.28626301,78.34536794,48.125,0,0,0,0,0,0,0,0,0,0
1,12002,3,1120023,4140,4140,48,48,903,875,16,0,0,0,0,12,12,0,28,62,0,0,64,0,749,903,513,25305600,22.5683002,9.364196907,31.93249711,15,0,0,0,0,0,0,0,0,0,0
1,12101,1,1121011,4140,4140,48,48,1967,1928,18,0,0,0,0,21,0,21,12,0,310,13,30,0,1602,1967,809,52090900,89.24736898,51.50308299,140.750452,58.75,230,468,698,0,698,2,1,1,2,0
1,12101,2,1121012,4140,4140,48,48,781,708,0,0,0,0,17,56,41,15,15,12,26,0,16,7,705,781,395,26204100,60.52407781,35.1157384,95.63981622,34.375,0,0,0,0,0,0,0,0,0,0
1,12101,3,1121013,4140,4140,48,48,1095,1062,7,0,0,0,0,26,0,26,13,110,70,26,134,43,699,1095,480,29377900,31.80078665,28.67785303,60.47863968,23.75,0,0,0,0,0,0,0,0,0,0
1,12101,4,1121014,4140,4140,48,48,644,565,79,0,0,0,0,0,0,0,0,138,40,0,67,24,375,644,369,14496100,38.98160944,19.31365612,58.29526556,26.25,0,0,0,0,0,0,0,0,0,0
1,12101,5,1121015,4140,4140,48,48,490,490,0,0,0,0,0,0,0,0,14,52,0,0,12,0,412,490,301,17718300,58.47241416,23.99575457,82.46816873,31.25,0,0,0,0,0,0,0,0,0,0
1,12102,1,1121021,4140,4140,48,48,754,687,0,0,0,0,0,67,0,67,60,40,0,0,26,59,569,754,421,19368900,28.72329117,15.21681997,43.94011114,13.75,0,0,0,0,0,0,0,0,0,0
1,12102,2,1121022,4140,4140,48,48,887,730,0,0,0,0,157,0,0,0,40,14,0,26,0,109,698,887,405,40196800,16.41330924,15.21681997,31.63012921,12.5,0,0,0,0,0,0,0,0,0,0
1,12102,3,1121023,4140,4140,48,48,682,579,85,0,0,0,0,18,0,18,70,0,33,0,56,0,523,682,396,26020400,20.51663655,19.31365612,39.83029267,19.375,0,0,0,0,0,0,0,0,0,0
1,12102,4,1121024,4140,4140,48,48,1540,1540,0,0,0,0,0,0,0,0,187,47,94,11,322,92,787,1540,603,30564700,43.08493675,25.16627919,68.25121594,19.375,0,0,0,0,0,0,0,0,0,0
1,12200,1,1122001,2310,2310,20,20,921,919,0,0,2,0,0,0,0,0,0,0,2,0,51,0,868,921,472,51349200,55.39491868,40.38309916,95.77801784,38.75,0,0,0,0,0,0,0,0,0,0
1,12200,2,1122002,2310,2310,20,20,1067,1044,8,0,0,0,0,15,0,15,67,32,43,0,13,14,739,908,427,40302500,27.69745934,26.92206611,54.61952545,28.125,245,0,245,0,245,1,1,0,1,0
1,12200,3,1122003,2310,2310,20,20,2265,2146,0,0,37,0,9,73,31,42,0,12,0,9,12,14,2218,2265,840,102619800,126.1773148,98.32406752,224.5013823,109.375,0,0,0,0,0,0,0,0,0,0
1,12200,4,1122004,2310,2310,20,20,475,475,0,0,0,0,0,0,0,0,0,41,0,0,13,0,421,475,291,17461000,16.41330924,15.21681997,31.63012921,11.25,0,0,0,0,0,0,0,0,0,0
1,12502,1,1125021,2310,2310,20,20,526,462,0,0,0,0,0,64,0,64,14,0,0,22,10,19,461,526,322,18343100,15.38747741,10.53472152,25.92219893,11.25,0,0,0,0,0,0,0,0,0,0
1,12502,2,1125022,2310,2310,20,20,865,849,16,0,0,0,0,0,0,0,15,84,26,0,35,10,609,779,385,26580200,35.90411396,10.53472152,46.43883548,20.625,0,0,0,0,0,0,0,0,0,0
1,12502,3,1125023,2310,2310,20,20,592,541,0,0,51,0,0,0,0,0,54,57,7,10,68,0,396,592,340,17423800,38.98160944,17.5578692,56.53947864,23.75,0,0,0,0,0,0,0,0,0,0
1,12502,4,1125024,2310,2310,20,20,736,736,0,0,0,0,0,0,0,0,9,18,21,107,43,0,462,660,325,16107100,32.82661848,9.949459214,42.77607769,25,0,0,0,0,0,0,0,0,0,0
1,12601,1,1126011,2310,2310,20,20,1881,1829,0,0,34,0,0,18,0,18,41,75,24,27,77,17,1620,1881,764,60172500,87.19570533,46.23572223,133.4314276,76.875,0,0,0,0,0,0,0,0,0,0
1,12601,2,1126012,2310,2310,20,20,836,783,0,0,0,0,15,38,0,38,29,96,21,0,57,0,633,836,387,26624800,69.75656426,39.21257455,108.9691388,42.5,0,1162,1162,1388,2550,2,0,2,2,1
1,12602,1,1126021,2310,2310,20,20,1345,1190,0,43,63,0,49,0,0,0,142,200,0,0,45,0,942,1329,554,28019900,61.54990964,38.04204993,99.59195958,51.25,0,0,0,0,0,0,0,0,0,0
1,12602,2,1126022,2310,2310,20,20,732,522,116,0,0,0,80,14,14,0,42,30,0,30,30,0,600,732,332,20900100,92.32486446,36.87152532,129.1963898,58.75,0,0,0,0,0,0,0,0,0,0
1,12602,3,1126023,2310,2310,20,20,1372,1126,21,0,0,0,137,88,17,71,37,230,55,30,0,0,1020,1372,625,30385800,54.36908685,39.21257455,93.5816614,52.5,292,0,292,0,292,1,1,0,1,0
1,12602,4,1126024,2310,2310,20,20,1537,1190,145,0,51,0,0,151,0,151,31,77,335,161,76,53,804,1537,749,28337600,50.26575954,30.43363995,80.69939949,45,0,0,0,0,0,0,0,0,0,0
1,12700,1,1127001,2310,2310,20,20,1677,1454,0,0,0,0,127,96,0,96,0,0,10,0,445,73,1149,1677,658,55280900,61.54990964,49.16203376,110.7119434,60,243,0,243,0,243,1,1,0,1,0
1,12700,2,1127002,2310,2310,20,20,957,816,119,0,0,0,0,22,0,22,12,0,32,39,0,0,874,957,477,36338600,43.08493675,28.67785303,71.76278978,27.5,0,0,0,0,0,0,0,0,0,0
1,12700,3,1127003,2310,2310,20,20,670,635,17,0,0,0,0,18,0,18,0,0,14,0,0,13,643,670,373,26812000,28.72329117,14.04629536,42.76958653,22.5,0,0,0,0,0,0,0,0,0,0
1,12700,4,1127004,2310,2310,20,20,1243,1072,0,0,0,0,171,0,0,0,25,18,12,78,0,0,1110,1243,561,39362400,54.36908685,45.06519761,99.43428446,46.875,309,0,309,0,309,2,1,0,1,0
1,12800,1,1128001,2310,2310,20,20,1296,1261,0,25,0,0,10,0,0,0,14,0,24,36,44,201,977,1296,582,42044600,34.87828213,21.06944304,55.94772517,32.5,0,0,0,0,0,0,0,0,0,0
